Year,Total,0_10000,10000_20000,20000_40000,40000_60000,60000_80000,80000_100000,100000_120000,120000_140000,140000_147000,Max
1992,126000,46372,29812,33253,9506,,,,,,7057
1993,128100,46571,29900,33920,10696,,,,,,7013
1994,130100,46267,29903,34712,12019,274,,,,,6921
1995,132800,45781,30142,35950,12833,495,,,,,7597
1996,135100,45333,29832,37047,13758,1050,,,,,8077
1997,137765,44407,29676,38319,14853,2103,,,,,8405
1998,140386,43260,29360,39681,16070,3265,,,,,8747
1999,142703,42682,28975,40624,17002,4830,,,,,8589
2000,146097,42214,28443,41690,18386,6433,,,,,8933
2001,146596,41296,27746,41644,19238,7881,174,,,,8614
2002,145793,40873,26910,41102,19515,8286,1263,,,,7840
2003,145101,40165,26247,40529,19790,8640,1818,,,,7909
2004,146662,39515,25914,40494,20591,9338,2210,,,,8597
2005,148530,39134,25683,40777,21278,9793,2875,,,,8987
2006,150787,38672,25237,40953,22163,10551,4120,,,,9090
2007,152474,38072,24892,40844,22881,11190,5217,,,,9378
2008,152225,37171,24415,40203,23074,11626,6027,531,,,9175
2009,147375,36578,23767,38312,22050,11232,5927,1425,,,8081
2010,146734,36162,23815,37554,21925,11369,6010,1437,,,8459
2011,147734,35210,23987,37612,22173,11695,6287,1519,,,9248
2012,149790,34928,24019,37943,22706,12077,6627,2248,,,9239
2013,152244,34916,24130,38382,23270,12472,6891,2996,,,9184
2014,154301,34160,24164,38695,23861,13021,7258,3797,,,9345
2015,157041,33419,24098,39182,24647,13700,7704,4363,,,9928
2016,159539,33148,23843,40103,25426,14128,7968,4502,,,10421
2017,161452,32558,23394,40218,26142,14809,8380,4948,1390,,9613
2018,163589,31639,22763,40525,26915,15576,8875,5314,1726,,10256
2019,165250,30616,22014,40578,27671,16326,9402,5631,2628,,10384
2020,163696,32941,21188,37143,26837,16305,9614,5837,3511,,10320
2021,164618,29524,19626,37249,28282,17538,10442,6401,4114,573,10869
2022,168526,27116,18836,36567,29955,19236,11579,7195,4719,1377,11946
